Date,ZMW_per_USD,YearMonth
2017-09-11,0.1094139814376831,2017-09
2017-09-12,0.10795988142490387,2017-09
2017-09-13,0.10851635783910751,2017-09
2017-09-14,0.10650308430194855,2017-09
2017-09-15,0.1070549264550209,2017-09
2017-09-18,0.10519339889287949,2017-09
2017-09-19,0.10422311723232269,2017-09
2017-09-20,0.10343187302350998,2017-09
2017-09-21,0.10441246628761292,2017-09
2017-09-22,0.1066814586520195,2017-09
2017-09-25,0.1055130586028099,2017-09
2017-09-26,0.105417400598526,2017-09
2017-09-27,0.10458718985319138,2017-09
2017-09-28,0.10447683185338974,2017-09
2017-09-29,0.10386157780885696,2017-09
2017-10-02,0.10329511761665344,2017-10
2017-10-03,0.10337305814027786,2017-10
2017-10-04,0.10333674401044846,2017-10
2017-10-05,0.10366668552160263,2017-10
2017-10-06,0.10427963733673096,2017-10
2017-10-09,0.1048097237944603,2017-10
2017-10-10,0.1040940210223198,2017-10
2017-10-11,0.10432859510183334,2017-10
2017-10-12,0.1046813502907753,2017-10
2017-10-13,0.10393606126308441,2017-10
2017-10-16,0.10365486890077591,2017-10
2017-10-17,0.10351645201444626,2017-10
2017-10-18,0.10378073155879974,2017-10
2017-10-19,0.1031087338924408,2017-10
2017-10-20,0.10320129990577698,2017-10
2017-10-23,0.10297706723213196,2017-10
2017-10-24,0.10226621478796005,2017-10
2017-10-25,0.1018921434879303,2017-10
2017-10-26,0.1015218198299408,2017-10
2017-10-27,0.0988142266869545,2017-10
2017-10-30,0.1000250056385994,2017-10
2017-10-31,0.10030190646648407,2017-10
2017-11-01,0.10006103664636612,2017-11
2017-11-02,0.09998999536037445,2017-11
2017-11-03,0.0999300479888916,2017-11
2017-11-06,0.0997307226061821,2017-11
2017-11-07,0.10006403923034668,2017-11
2017-11-08,0.10033511370420456,2017-11
2017-11-09,0.10076175630092621,2017-11
2017-11-10,0.1012033075094223,2017-11
2017-11-13,0.1020345687866211,2017-11
2017-11-14,0.10132019966840744,2017-11
2017-11-15,0.10108055174350739,2017-11
2017-11-17,0.10023153573274612,2017-11
2017-11-20,0.09980039298534393,2017-11
2017-11-21,0.09950248897075653,2017-11
2017-11-22,0.09970089793205261,2017-11
2017-11-23,0.09980039298534393,2017-11
2017-11-24,0.09919650852680206,2017-11
2017-11-27,0.09971083700656891,2017-11
2017-11-28,0.09876543283462524,2017-11
2017-11-29,0.0987459272146225,2017-11
2017-11-30,0.09965122491121292,2017-11
2017-12-01,0.09965122491121292,2017-12
2017-12-04,0.0986582487821579,2017-12
2017-12-05,0.09886308014392853,2017-12
2017-12-06,0.09645992517471313,2017-12
2017-12-07,0.09636696428060532,2017-12
2017-12-08,0.09688045084476471,2017-12
2017-12-11,0.09802960604429245,2017-12
